areaNm,areaCd,areaCongestLvl,areaCongestMsg,temp,humidity,pm10,collectedAt,prkNm,prkCd,prkType,cpcty,curPrkCnt,curPrkYn,curPrkTime,payYn,rates,timeRates,addRates,addTimeRates,address,roadAddr,lng,lat
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,용산구청(용산아트홀),3201744,BP,482,,N,,Y,1000,30,250,5,용산구 이태원동 34-87,,126.99,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,한남동 공영주차장(구),1433547,NW,248,,N,,Y,250,5,250,5,용산구 한남동 685-46,,127.00,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,세계로주차장,1269499,BS,42,,N,,Y,2000,30,1000,10,용산구 이태원동 181-8,,126.99,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,녹사평32주차장(민영),1912956,NP,15,,N,,Y,2000,20,2000,20,용산구 이태원동 44-31,,126.99,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,한남동 공영주차장(구),1433547,NW,248,248,Y,2025-08-09 18:03:02,Y,250,,250,,용산구 한남동 685-46,용산구 이태원로 224-19,127.00,37.53
서울 암사동 유적,POI011,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:09.396045,서울암사동유적 주차장(구),3246676,NW,108,,N,,Y,1000,540,1000,540,강동구 암사동 139-2,,127.13,37.56
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,DDP동측(양쪽) 관광버스전용 주차장(시),1427633,NS,20,,N,,N,0,0,0,0,중구 을지로7가 2-36,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,DDP북측 마장로 관광버스전용 주차장(시),1424461,NS,4,,N,,N,0,0,0,0,중구 신당동 222-3,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,동대문패션비즈센터 주차장,3200577,BS,25,,N,,Y,3500,60,3000,60,중구 신당동 251-160,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,APM플레이스 앞 관광버스 주차허용 구간(시),1582627,NS,1,,N,,N,0,0,0,0,중구 을지로7가 112-3,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,APM플레이스 앞 관광버스 주차허용 구간(시),1582627,NS,1,,N,,N,0,0,0,0,중구 을지로7가 276-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,동대문디자인플라자(DDP) 주차장,3202615,BS,355,,N,,Y,400,5,400,5,중구 을지로7가 143-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,동대문 공영주차장(시),1384198,NW,1092,,N,,Y,360,5,360,5,중구 신당동 251-7,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,DDP 유어스빌딩 앞 관광버스 주차허용 구간(시),1913613,NS,2,,N,,N,0,0,0,0,중구 신당동 204-92,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계6(청평화) 공영주차장(시),1235665,NS,5,,N,,Y,450,5,450,5,중구 신당동 217-91 0,,127.02,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,아트프라자 주차장,3200570,BS,63,,N,,Y,2000,30,1000,10,중구 신당동 213-67,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,맥스타일 오피스텔 주차장,3200572,BS,211,,N,,Y,2000,30,1000,15,중구 신당동 773-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,광희패션몰 주차장,3201791,BS,46,,N,,Y,2000,30,500,10,중구 신당동 777-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,경찰공제회 신당동 무궁화회관,3201580,BS,15,,N,,Y,2000,30,2000,30,중구 신당동 193-29,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,혜양엘리시움 주차장,3201652,BS,100,,N,,Y,1500,30,500,10,중구 신당동 213-48,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,롯데피트인,3200607,BS,165,,N,,Y,2000,30,2000,30,중구 을지로6가 21-31,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,밀리오레 주차장,3200625,BS,386,,N,,Y,1500,30,500,10,중구 을지로6가 18-185,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,국민은행 신당동점 주차장,3201826,BS,11,,N,,Y,1000,15,1000,15,중구 신당동 250-9,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계5가 공영주차장(시),1510063,NS,9,,N,,Y,750,5,750,5,중구 을지로6가 17-442 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,남평화시장(구),1510112,NS,31,,N,,Y,500,5,500,5,중구 신당동 779-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,맑은내길 노상공영주차장(구),1510159,NS,17,,N,,Y,500,5,500,5,중구 신당동 213-0 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,훈련원공원 옆(구),1510243,NS,8,,N,,Y,500,5,500,5,중구 을지로6가 18-200,,127.00,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,구민회관앞 이륜차 주차장(구),1510248,NS,20,,N,,N,0,0,0,0,중구 을지로6가 18-14 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계6(신평화시장앞) 공영주차장(시),1510350,NS,7,,N,,Y,450,5,450,5,중구 신당동 217-91 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,중앙의료원옆 이륜차 주차장(구),1509870,NS,12,,N,,N,0,0,0,0,중구 을지로6가 18-79 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계5(방산동) 공영주차장(시),1510632,NS,23,,N,,Y,750,5,750,5,중구 방산동 52-1,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계5(남) 공영주차장(시),1510016,NS,5,,N,,Y,750,5,750,5,중구 을지로6가 17-442 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계6(동평화) 공영주차장(시),1510496,NS,6,,N,,Y,450,5,450,5,중구 신당동 217-91 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,디오트,685391,BS,145,,N,,Y,2000,30,1000,10,중구 신당동 193-2,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,누죤빌딩,3200562,BS,318,,N,,Y,2000,20,500,10,중구 신당동 200-5,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,충무아트홀,3202609,BS,191,,N,,Y,500,10,500,10,중구 흥인동 131-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,동대문비즈센터앞 이륜차 주차장(구),1509409,NS,9,,N,,N,0,0,0,0,중구 신당동 200-5 0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,우일타운,3202555,BS,139,,N,,Y,500,10,500,10,중구 흥인동 3-4,,127.02,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,성동공고 공영주차장(구),3204448,NW,175,,N,,Y,200,5,200,5,중구 흥인동 1-1,,127.02,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,굿모닝시티쇼핑몰,3202406,BS,375,,N,,Y,1500,30,1500,30,중구 을지로6가 18-21,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,동대문두산타워 주차장,960147,BS,855,,N,,Y,0,10,700,10,중구 을지로6가 18-12,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,Studio W 주차장,3201799,BS,154,,N,,Y,1500,30,500,10,중구 신당동 213-8,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,현대백화점 현대시티아울렛 동대문점,960162,BS,618,,N,,Y,0,30,600,10,중구 을지로6가 17-2,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계천두산위브더제니스상,3202560,BS,997,,N,,Y,0,30,2000,30,중구 흥인동 13-1,,127.02,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,평안빌딩부설주차장,3200836,BS,42,,N,,Y,2000,30,1000,10,중구 광희동1가 188-0,,127.01,37.56
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,헬로우APM 주차장,3200605,BS,92,,N,,Y,1500,30,500,10,중구 을지로6가 18-35,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,카카오T주차,3202568,BS,26,,N,,Y,2000,30,2000,30,중구 흥인동 141-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,에이피엠 플레이스 패션몰,3202604,BS,132,,N,,Y,2000,30,500,10,중구 을지로7가 105-0,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,국립중앙의료원,3214517,BS,260,,N,,Y,6600,60,1100,10,중구 을지로6가 18-79,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,DDP동측(양쪽) 관광버스전용 주차장(시),1427633,NS,20,13,Y,2025-08-09 18:02:41,N,0,,0,,중구 을지로7가 2-36,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,DDP북측 마장로 관광버스전용 주차장(시),1424461,NS,4,4,Y,2025-08-09 18:02:41,N,0,,0,,중구 신당동 222-3,,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,동대문 공영주차장(시),1384198,NW,1092,105,Y,2025-08-09 18:02:30,Y,360,,360,,중구 신당동 251-7,중구 마장로 22,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계5(남) 공영주차장(시),1510016,NS,5,0,Y,2024-10-15 13:06:15,Y,750,,750,,중구 을지로6가 17-442 0,중구 퇴계로56길 28,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계5(방산동) 공영주차장(시),1235433,NS,36,0,Y,2024-10-15 13:06:16,Y,750,,750,,중구 방산동 52-1,중구 퇴계로56길 28,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계5가 공영주차장(시),1509667,NS,20,0,Y,2024-10-15 13:06:22,Y,750,,750,,중구 을지로6가 17-442 0,중구 퇴계로56길 28,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계6(동평화) 공영주차장(시),1510496,NS,6,4,Y,2025-08-09 18:02:40,Y,450,,450,,중구 신당동 217-91 0,중구 청계천로 334,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계6(신평화시장앞) 공영주차장(시),1510308,NS,7,3,Y,2025-08-09 18:02:34,Y,450,,450,,중구 신당동 217-91 0,중구 청계천로 334,127.01,37.57
동대문 관광특구,POI002,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:09.889936,청계6(청평화) 공영주차장(시),1235665,NS,5,3,Y,2025-08-09 18:02:40,Y,450,,450,,중구 신당동 217-91 0,중구 청계천로 334,127.02,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,그랑서울 주차장,1437012,BS,754,,N,,Y,1000,10,1000,10,종로구 청진동 70-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,94빌딩,984489,BS,63,,N,,Y,3000,30,1000,10,종로구 공평동 144-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,황소(민영),2974687,NP,20,,N,,Y,2000,30,1000,10,종로구 청진동 9-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,하나투어빌딩,2984544,BS,120,,N,,Y,3000,30,1000,10,종로구 공평동 1-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,센트로폴리스,1912957,BS,560,,N,,Y,2000,20,2000,20,종로구 공평동 17-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,종로타워 주차장,910779,BS,273,,N,,Y,2000,20,1000,10,종로구 종로2가 6-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,종각(구),1451594,NS,13,,N,,Y,500,5,1000,10,종로구 관철동 45-9,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,대신주차장(민영),1441398,NP,44,,N,,Y,3000,30,1000,10,종로구 관철동 44-4,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,서울글로벌센터 공영주차장(시),1386536,NW,44,,N,,Y,700,5,700,5,종로구 서린동 63-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,종로1번가,2992481,BS,42,,N,,Y,2000,30,1000,15,종로구 관철동 155-0,,126.99,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,관정빌딩 주차장,2973967,BS,145,,N,,Y,2000,30,2000,30,종로구 서린동 88-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,한국스탠다드차티드은행빌딩,2961634,BS,366,,N,,Y,1000,10,1000,10,종로구 공평동 100-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,알파빌딩,2976591,BS,84,,N,,Y,2000,30,500,10,종로구 서린동 70-0,,126.98,37.57
보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:10.079740,서울글로벌센터 공영주차장(시),1386536,NW,44,2,Y,2025-08-09 18:02:30,Y,700,,700,,종로구 서린동 63-0,종로구 종로 38,126.98,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,우리은행ATM 종로5가지점,3002380,BS,13,,N,,Y,3000,30,2000,20,종로구 종로5가 398-3,,127.00,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,청계3(북1) 공영주차장(시),1210657,NS,19,,N,,Y,750,5,750,5,종로구 예지동 140-1,,127.00,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,청계5(동호로_북) 공영주차장(시),1452024,NS,6,,N,,Y,750,5,750,5,종로구 종로5가 458-2,,127.00,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,청계6(북) 공영주차장(시),1452441,NS,28,,N,,Y,450,5,450,5,종로구 종로6가 289-49,,127.01,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,청계2(북2) 공영주차장(시),1208601,NS,9,,N,,Y,750,5,750,5,종로구 관수동 91-4,,127.00,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,삼성 주차장(민영),3245929,NP,17,,N,,Y,2000,30,1000,10,종로구 창신동 326-6,,127.01,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,세종주차장(민영),171777,NP,250,,N,,Y,3000,30,3000,30,종로구 관수동 155-1,,126.99,37.57
종로·청계 관광특구,POI006,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,,,,2025-08-09T18:04:11.547349,창신(민영),171822,NP,14,,N,,Y,2000,30,700,10,종로구 창신동 458-5,,127.01,37.57
